Tweet ID,Author Username,Original User Sentiment,include_match_count,exclude_match_count,topic_relevance_score,include_terms_matched,exclude_terms_matched,Content
1.976319207659737e+18,HobbJW,Negative,0,1,-1,[],['market'],"I think someone broke the $Silver market

Backwardation is almost $2 an ounce.  

Clearly the physical is getting hard to come by.  

#silversqueeze https://t.co/0bJtgGqGoB"
1.9763188896182804e+18,startchangeri,Negative,0,0,0,[],[],"https://t.co/p2evk55vWh

""Greene disagrees with the Democrats' tactic of voting against a short-term funding bill to reopen the government at current spending levels without any policy changes, but she said that shouldn't prevent her party from negotiating with them to find a solution on health care premiums.""

She also made it clear that Congress should go back to passing 12 annual appropriations bills that focus on specific parts of the government and allow for policy and spending changes, as opposed to broadly extending the status quo on government funding.

“I am personally against the government shutdown. I really want to be doing appropriations,"" she said.

To pass appropriations bills, the House would need to be in session. Johnson, however, has insisted that he won’t bring the House back until the shutdown ends.

“We should be doing appropriations. The House should be in session and continuing that work,” she said.

Greene also said that the Senate shoulders some of the blame and that Republicans, with their 53-47 majority, could end the shutdown immediately by disposing of the legislative filibuster, which requires 60 votes to pass most pieces of legislation.

“They can open the government any time they want. They can use the nuclear option in the Senate. They can reopen the government. This is a bunch of drama and political theater, so I’m willing to call that out, too,” she said.

This article was originally published on https://t.co/iFIGCqtVds"
1.9763189105858033e+18,AmorFati762,Negative,0,0,0,[],[],Why did we ever get rid of public execution
1.9763182876141816e+18,SStrode,Positive,0,0,0,[],[],"👀 Looking for some bookish deals?📚 Our Romance book fair has over 100 free &amp; discounted books, plus KU finds! There's also a HUGE giveaway at the bottom!
💋 View the fair here: https://t.co/3DWk8Mg2dk 🌹 
 https://t.co/nLGyvuNGGN"
1.9763180785826532e+18,SStrode,Positive,0,0,0,[],[],"✨🧙‍♂️ Lord of the Rings fans, are you ready for some magical prizes!  Discover new author &amp; enter to win! 📚✨ #BookLoversUnite #LotR https://t.co/jKVQ8gWwQu"
1.9763180191158113e+18,SStrode,Positive,0,0,0,[],[],28; From Reads to Tees: $500 Book Cave Store Giveaway! 📚 https://t.co/ucJNk2IXhs via @BookCaveHQ
1.9763179445704584e+18,notreload_ai,Positive,0,0,0,[],[],"$CDTX +9% [Cidara's long-acting non-vaccine drug, CD388, has received FDA Breakthrough Therapy designation for preventing seasonal influenza in vulnerable adults and adolescents.] https://t.co/XtAxU5JYCH https://t.co/CqNAIRiZN8"
1.9763176299011937e+18,SStrode,Positive,0,0,0,[],[],C.L. Cannon’s Halloween Horrors Fan Giveaway! https://t.co/B9AURFc7gt via @clcannonauthor
1.976317582241346e+18,SStrode,Positive,0,0,0,[],[],C.L. Cannon’s Angels &amp; Demons Fan Giveaway! https://t.co/WeNHUZiE3N via @clcannonauthor
1.9763175011987543e+18,Jasonwoodmine,Negative,0,0,0,[],[],"加里·普莱尔：""总统在联合国的演讲毫无疑问是我听过的最精彩的演讲之一，我有两个原本不是特朗普粉丝的朋友，现在都成了他的铁杆支持者。"""
1.9763174996468332e+18,Jasonwoodmine,Negative,0,1,-1,[],['trump'],"Gary Player: ""The President's speech at the United Nations is without a question one of the greatest speeches I've ever heard, and two of my friends who are not Trump fans are now his big, big fans."""
1.9763173879442063e+18,SStrode,Positive,0,0,0,[],[],C.L. Cannon’s Fairy Tale Fans Giveaway! https://t.co/U1mDu7pKMw via @clcannonauthor
