Tweet ID,Author Username,Original User Sentiment,include_match_count,exclude_match_count,topic_relevance_score,url_count,cashtag_count,alpha_word_count,include_terms_matched,exclude_terms_matched,Content
1.976299136879346e+18,YunSean1234,Negative,0,1,-1,1,0,43,[],['stocks'],WOW!!!:) AS I'VE WARNED OF THE BIGGEST EVER NEVER EVER BUBBLES OF STOCKS BONDS CRYPTOS REAL ESTATE NOW THOSE ARE POPPING NOW!!:) INDEED T$$$$$$$$$$$$$$$$$$$$$$-BUBBLES ARE EXPLDOING NOW!!:) WOW!!!:) THIS IS CRAZY!!!:) NOTHING BUT INSANITY!!!:) IT'S THE BIGGEST EVER GOLD TIME!!!:) https://t.co/uCMFNZKlFc
1.9762961787790623e+18,YunSean1234,Negative,0,0,0,1,0,43,[],[],WOW!!!!:) AS I'VE SAID THAT NOW YEN IS GETTING BACK TO +160 LEVEL DRIVEN BY THE EXPLODING T¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥-SOVEREIGN DEBT ARMAGEDDON!!!:) WOW!!:) INDEED IT'S TOOOOOOOOOOOO LATE TO FIX THE DEBT ARMAGEDDON!!!:) AND MORE+MORE=THE MMT CRISIS!!:) WOW!!:) IT'S GOLD TIME!!!!:) https://t.co/x2OY7LHJoS
1.9762943525038367e+18,YunSean1234,Negative,0,0,0,0,0,20,[],[],RT @YunSean1234: WOW!!!! WE ARE SEEING IN ANYWAY MATHEMATICALLY YEN IS GOING BACK TO +160 RANGE AGAIN DRIVEN BY THE EXPLODING T¥¥¥¥¥¥¥¥¥¥¥¥…
1.976294327589753e+18,YunSean1234,Negative,0,0,0,0,0,19,[],[],RT @YunSean1234: +10000%% FACT IS THAT SOVEREIGN DEBT ARMAGEDDON HAS ARRIVED ALREADY!!!!!:) DO THE MATH!!!!:) JAPAN GOVERNMENT HAS NO CHOIC…
1.9762810256733348e+18,YunSean1234,Negative,0,0,0,1,0,54,[],[],DO THE MATH!!:) AS I'VE SAID THAT DRIVEN BY SOVEREIGN DEBT ARMAGEDDON NOW GOLD PRICE HAS NO OTHER OPTIONS BUT TO HIT +5K$ RANGE ANYWAY INDEED IT IS GOING ON+ON+ON MUCH MUCH MUCH FASTER THAN EVEN MY CONSERVATIVE MATH THAT HAS INDICATED IT BEFORE END OF 1ST Q OF 2026YR!!:) WOW!!!:) https://t.co/AQVnPvlLkE
1.976269044509704e+18,YunSean1234,Negative,0,0,0,1,0,49,[],[],WOW!!!!:) INSANE STIMULUS PACKAGE AGAIN= MONEY PRINTINGS=THE MMT CRISIS!!!!:) WOW!!!!!:) THE NEW (-)IQ=NO ECONOMIC REALITY JAPAN PM HAS NO IDEA WHAT THE HELL IS GOING ON+ON AND ON IN JAPAN ECONOMY!!!!!:) SORRY FOR MY WORDS BUT INDEED JAPAN IS FINANCIALLY FUCKED UP!!!!:) WOW!!!!:) https://t.co/wnpaANGpOG
1.9762643888659128e+18,YunSean1234,Negative,0,0,0,1,0,48,[],[],INDEED IT'S THE BIGGEST EVER REAL ECONOMY TIME AGAINST WHAT HAS COME ALREADY+IS COMING+COMING+WILL BE COMING+COMING AND COMING!!!!!:) AGAIN+AGAIN= RISING GOLD+ENERGY(BENCHMARK OIL)PRICES HAVE NOT EVEN STARTED YET!!!!!:) THOSE HAVE NOT EVEN STARTED YET!!!!!:) WOW!!!!:) IT'S TIME!! https://t.co/VttriZJ2vX
1.9762610891145871e+18,YunSean1234,Negative,0,0,0,1,0,48,[],[],I JUST FINISHED MY MATH AGAIN+AGAIN!!!!!:) AS I'VE WARNED THAT US ECONOMY IS COLLAPSING NOW!!!!:) INDEED IT IS COLLAPSING NOW!!!!:) AS I'VE WARNED OF TECH THAT CANNOT BE A SAVIOR OF THE ECONOMY!!!!!:) INDEED IT IS TOOOOOOOO LATE TO FIX THE SOVEREIGN DEBT ARMAGEDDON!!!!!:) WOW!!!! https://t.co/f1nJ5iWNWJ
1.9762584112905997e+18,YunSean1234,Negative,0,2,-2,0,0,22,[],"['stock', 'earnings']",RT @YunSean1234: WHAT ABOUT TARGET?!!!:) YOU ARE SEEING MORE+MORE AND MORE COLLAPSING ITS EARNINGS AS THE STOCK PRICE SHOWING THAT!!!:) SO…
1.9762090412832197e+18,YunSean1234,Negative,0,0,0,1,0,41,[],[],AGAIN+AGAIN= BETWEEN PHYSICAL GOLD AND CURRENCIES WHICH ONE HAS BEEN A GREAT HEDGE AGAINST THE EXPLODING T$$$$$$$$$$$$$$$$$$$$$$$$-SOVEREIGN DEBT CRISIS= THE BIGGEST EVER FISCAL CRISES EVERYWHERE IN EUROPE+USA+JAPAN+CHINA+S KOREA+CANADA+AUSTRALIA(+NZ) ETC EVERYWHERE!!!!!!!:) WOW! https://t.co/WwuZpUa7ga
1.9761440559073157e+18,hawkblogger,Positive,0,0,0,0,0,13,[],[],Making Jeter and A-Rod have to smile through this only makes it sweeter.
1.97612115397154e+18,rapebears,Negative,0,0,0,1,0,11,[],[],This is something Goonly Gummyton would do https://t.co/FDl118zuBf
